Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8.0,1995.0,Large,Life
Adult,Multivariate,Classification,"Categorical, Integer",48842,14.0,1996.0,Extra Large,Social
Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38.0,,Medium,Physical
Anonymous Microsoft Web Data,,Recommender Systems,Categorical,37711,294.0,1998.0,Extra Large,Computer
Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279.0,1998.0,Medium,Life
Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7.0,1992.0,Large,Computer
Audiology (Original),Multivariate,Classification,Categorical,226,,1987.0,Medium,Life
Audiology (Standardized),Multivariate,Classification,Categorical,226,69.0,1992.0,Medium,Life
Auto MPG,Multivariate,Regression,"Categorical, Real",398,8.0,1993.0,Medium,
Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26.0,1987.0,Medium,
Badges,"Univariate, Text",Classification,,294,1.0,1994.0,Medium,
Balance Scale,Multivariate,Classification,Categorical,625,4.0,1994.0,Medium,Social
Balloons,Multivariate,Classification,Categorical,16,4.0,,Small,Social
Breast Cancer,Multivariate,Classification,Categorical,286,9.0,1988.0,Medium,Life
Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10.0,1992.0,Medium,Life
Breast Cancer Wisconsin (Prognostic),Multivariate,Regression,Real,198,34.0,1995.0,Medium,Life
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32.0,1995.0,Medium,Life
Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13.0,1990.0,Medium,
Car Evaluation,Multivariate,Classification,Categorical,1728,6.0,1997.0,Large,
Census Income,Multivariate,Classification,"Categorical, Integer",48842,14.0,1996.0,Extra Large,Social
Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36.0,1989.0,Large,Game
Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6.0,1994.0,Extra Large,Game
Bach Chorales,"Univariate, Time-Series",Other/Unknown,"Categorical, Integer",100,6.0,,Small,
Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42.0,1995.0,Extra Large,Game
Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15.0,,Medium,Financial
Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992.0,Medium,Financial
Computer Hardware,Multivariate,Regression,Integer,209,9.0,1987.0,Medium,Computer
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9.0,1997.0,Large,Life
Covertype,Multivariate,Classification,"Categorical, Integer",581012,54.0,1998.0,Extra Large,Life
Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39.0,1995.0,Medium,Physical
Dermatology,Multivariate,Classification,"Categorical, Integer",366,33.0,1998.0,Medium,Life
Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12.0,1989.0,Medium,Life
Ecoli,Multivariate,Classification,Real,336,8.0,1996.0,Medium,Life
Flags,Multivariate,Classification,"Categorical, Integer",194,30.0,1990.0,Medium,
Function Finding,,Other/Unknown,Real,352,,1990.0,Medium,Physical
Glass Identification,Multivariate,Classification,Real,214,10.0,1987.0,Medium,Physical
Haberman's Survival,Multivariate,Classification,Integer,306,3.0,1999.0,Medium,Life
Hayes-Roth,Multivariate,Classification,Categorical,160,5.0,1989.0,Medium,Social
Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75.0,1988.0,Medium,Life
Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19.0,1988.0,Medium,Life
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27.0,1989.0,Medium,Life
Image Segmentation,Multivariate,Classification,Real,2310,19.0,1990.0,Large,
Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558.0,1998.0,Large,Computer
Ionosphere,Multivariate,Classification,"Integer, Real",351,34.0,1989.0,Medium,Physical
Iris,Multivariate,Classification,Real,150,4.0,1988.0,Medium,Life
ISOLET,Multivariate,Classification,Real,7797,617.0,1994.0,Large,Computer
Kinship,Relational,Other/Unknown,Categorical,104,12.0,1990.0,Medium,Social
Labor Relations,Multivariate,Other/Unknown,"Categorical, Integer, Real",57,16.0,1988.0,Small,Social
Lenses,Multivariate,Classification,Categorical,24,4.0,1990.0,Small,
Letter Recognition,Multivariate,Classification,Integer,20000,16.0,1991.0,Extra Large,Computer
Liver Disorders,Multivariate,Other/Unknown,"Categorical, Integer, Real",345,7.0,1990.0,Medium,Life
Lung Cancer,Multivariate,Classification,Integer,32,56.0,1992.0,Small,Life
Lymphography,Multivariate,Classification,Categorical,148,18.0,1988.0,Medium,Life
Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8.0,1990.0,Medium,Computer
Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22.0,1996.0,Medium,
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58.0,1990.0,Medium,Life
Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,,,Medium,Life
Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61.0,1992.0,Large,Life
MONK's Problems,Multivariate,Classification,Categorical,432,7.0,1992.0,Medium,
Moral Reasoner,Domain-Theory,Other/Unknown,,202,,1994.0,Medium,Computer
Multiple Features,Multivariate,Classification,"Integer, Real",2000,649.0,,Large,Computer
Mushroom,Multivariate,Classification,Categorical,8124,22.0,1987.0,Large,Life
Musk (Version 1),Multivariate,Classification,Integer,476,168.0,1994.0,Medium,Physical
Musk (Version 2),Multivariate,Classification,Integer,6598,168.0,1994.0,Large,Physical
Nursery,Multivariate,Classification,Categorical,12960,8.0,1997.0,Extra Large,Social
Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10.0,1995.0,Large,Computer
Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64.0,1998.0,Large,Computer
Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16.0,1998.0,Extra Large,Computer
Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8.0,1993.0,Small,Life
Primary Tumor,Multivariate,Classification,Categorical,339,17.0,1988.0,Medium,Life
Servo,Multivariate,Regression,"Categorical, Integer",167,4.0,1993.0,Medium,Computer
Shuttle Landing Control,Multivariate,Classification,Categorical,15,6.0,1988.0,Small,Physical
Solar Flare,Multivariate,Regression,Categorical,1389,10.0,1989.0,Large,Physical
Soybean (Large),Multivariate,Classification,Categorical,307,35.0,1988.0,Medium,Life
Soybean (Small),Multivariate,Classification,Categorical,47,35.0,1987.0,Small,Life
Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4.0,1993.0,Small,Physical
Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102.0,1988.0,Medium,Physical
Spambase,Multivariate,Classification,"Integer, Real",4601,57.0,1999.0,Large,Computer
SPECT Heart,Multivariate,Classification,Categorical,267,22.0,2001.0,Medium,Life
SPECTF Heart,Multivariate,Classification,Integer,267,44.0,2001.0,Medium,Life
Sponge,Multivariate,Clustering,"Categorical, Integer",76,45.0,,Small,Life
Student Loan Relational,Domain-Theory,Other/Unknown,,1000,,1993.0,Medium,Social
Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5.0,1997.0,Medium,
Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9.0,1991.0,Medium,Game
Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21.0,1987.0,Large,Life
Trains,Multivariate,Classification,Categorical,10,32.0,1994.0,Small,
University,Multivariate,Classification,"Categorical, Integer",285,17.0,1988.0,Medium,
Congressional Voting Records,Multivariate,Classification,Categorical,435,16.0,1987.0,Medium,Social
Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38.0,1993.0,Medium,Physical
Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21.0,1988.0,Large,Physical
Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40.0,1988.0,Large,Physical
Wine,Multivariate,Classification,"Integer, Real",178,13.0,1991.0,Medium,Physical
Yeast,Multivariate,Classification,Real,1484,8.0,1996.0,Large,Life
Zoo,Multivariate,Classification,"Categorical, Integer",101,17.0,1990.0,Medium,Life
Twenty Newsgroups,Text,Other/Unknown,,20000,,1999.0,Extra Large,
Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15.0,1999.0,Large,
Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22.0,2002.0,Large,
US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68.0,,Extra Large,Social
Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40.0,2000.0,Extra Large,Social
Coil 1999 Competition Data,Multivariate,Other/Unknown,"Categorical, Real",340,17.0,1999.0,Medium,Physical
Corel Image Features,Multivariate,Other/Unknown,Real,68040,89.0,1999.0,Extra Large,
EEG Database,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer, Real",122,4.0,1999.0,Medium,Life
El Nino,Spatio-temporal,Other/Unknown,"Integer, Real",178080,12.0,1999.0,Extra Large,Physical
Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender Systems,Categorical,50672,,2000.0,Extra Large,
CMU Face Images,Image,Classification,Integer,640,,1999.0,Medium,
Insurance Company Benchmark (COIL 2000),Multivariate,Regression,"Categorical, Integer",9000,86.0,2000.0,Large,Social
Internet Usage Data,Multivariate,Other/Unknown,"Categorical, Integer",10104,72.0,1999.0,Extra Large,Computer
IPUMS Census Database,Multivariate,Other/Unknown,"Categorical, Integer",256932,61.0,1999.0,Extra Large,Social
Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12.0,,Medium,
KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481.0,1998.0,Extra Large,
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42.0,1999.0,Extra Large,Computer
Movie,"Multivariate, Relational",Other/Unknown,,10000,,1999.0,Large,
MSNBC.com Anonymous Web Data,Sequential,Other/Unknown,Categorical,989818,,,Extra Large,Computer
NSF Research Award Abstracts 1990-2003,Text,Other/Unknown,,129000,,2003.0,Extra Large,
Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",Other/Unknown,,100000,,1999.0,Extra Large,
Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5.0,1997.0,Extra Large,
Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90.0,1999.0,Medium,Physical
Synthetic Control Chart Time Series,Time-Series,Clustering,Real,600,,1999.0,Medium,
Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5.0,1998.0,Medium,Computer
Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14.0,,Medium,Financial
Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20.0,1994.0,Medium,Financial
Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13.0,,Medium,Life
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36.0,1993.0,Large,Physical
Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19.0,1990.0,Large,
Statlog (Shuttle),Multivariate,Classification,Integer,58000,9.0,,Extra Large,Physical
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18.0,,Medium,
Connectionist Bench (Nettalk Corpus),Multivariate,Other/Unknown,Categorical,20008,4.0,,Extra Large,
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60.0,,Medium,Physical
Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10.0,,Medium,
Cloud,Multivariate,Other/Unknown,Real,1024,10.0,1989.0,Large,Physical
CalIt2 Building People Counts,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",10080,4.0,2006.0,Extra Large,
Dodgers Loop Sensor,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",50400,3.0,2006.0,Extra Large,
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11.0,2007.0,Extra Large,Game
MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11.0,2007.0,Extra Large,Physical
